date,description,amount_pkr
2026-03-01,Shaukat Khanum Gym Membership,4500.00
2026-03-02,K-Electric Bill Payment,8450.00
2026-03-03,Netflix Pakistan,1100.00
2026-03-04,Foodpanda Order - Student Biryani,780.00
2026-03-05,Spotify Premium,299.00
2026-03-06,Careem Ride - Gulshan to Saddar,620.00
2026-03-07,YouTube Premium,439.00
2026-03-09,PSO Petrol Pump - Fuel,5000.00
2026-03-11,Imtiaz Super Market Groceries,6320.00
2026-03-12,Google One Cloud Storage,550.00
2026-03-14,Jazz Mobile Load,1000.00
2026-03-15,SSGC Gas Bill,2100.00
2026-03-18,Daraz VIP Subscription,200.00
2026-03-20,Foodpanda Order - KFC,1450.00
2026-03-24,Daraz.pk Order - Phone Cover,899.00
2026-03-28,PTCL Broadband Bill,3500.00
2026-04-01,Shaukat Khanum Gym Membership,4500.00
2026-04-02,K-Electric Bill Payment,9120.00
2026-04-03,Netflix Pakistan,1100.00
2026-04-05,Spotify Premium,299.00
2026-04-05,Careem Ride - Airport Drop,1350.00
2026-04-07,YouTube Premium,439.00
2026-04-08,PSO Petrol Pump - Fuel,5000.00
2026-04-10,Naheed Super Store Groceries,7180.00
2026-04-12,Google One Cloud Storage,550.00
2026-04-13,Foodpanda Order - Pizza Max,1899.00
2026-04-13,Foodpanda Order - Pizza Max,1899.00
2026-04-16,Jazz Mobile Load,1000.00
2026-04-17,SSGC Gas Bill,1950.00
2026-04-18,Daraz VIP Subscription,200.00
2026-04-21,Bata Shoes - Tariq Road,4499.00
2026-04-26,PTCL Broadband Bill,3500.00
2026-04-29,Careem Ride - Dolmen Mall,480.00
2026-05-01,Shaukat Khanum Gym Membership,4500.00
2026-05-02,K-Electric Bill Payment,11380.00
2026-05-03,Netflix Pakistan,1100.00
2026-05-05,Spotify Premium,299.00
2026-05-05,PSO Petrol Pump - Fuel,5000.00
2026-05-07,YouTube Premium,439.00
2026-05-08,Imtiaz Super Market Groceries,6890.00
2026-05-11,Foodpanda Order - Student Biryani,820.00
2026-05-12,Google One Cloud Storage,550.00
2026-05-14,Jazz Mobile Load,1000.00
2026-05-16,SSGC Gas Bill,1780.00
2026-05-18,Daraz VIP Subscription,200.00
2026-05-19,Careem Ride - Clifton,540.00
2026-05-22,Daraz.pk Order - Bedsheet,2499.00
2026-05-22,Daraz.pk Order - Bedsheet,2499.00
2026-05-25,PTCL Broadband Bill,3500.00
2026-05-27,Sabri Nihari - Dinner,1650.00
